START EXPERIMENT
2025-07-09 01:20:50.415515epoch[9/500] psnrTr:43.144615 lossTr:0.002699166536 lr:0.000086160000
2025-07-09 01:22:04.124918epoch[10/500] psnrTr:44.050027 lossTr:0.002382436534 lr:0.000098040000
2025-07-09 01:23:18.074488epoch[11/500] psnrTr:43.280427 lossTr:0.002605085727 lr:0.000109920000
2025-07-09 01:24:32.556104epoch[12/500] psnrTr:44.952166 lossTr:0.002157332143 lr:0.000121800000
2025-07-09 01:25:46.677430epoch[13/500] psnrTr:44.993419 lossTr:0.002161971293 lr:0.000133680000
2025-07-09 01:27:00.189264epoch[14/500] psnrTr:45.606918 lossTr:0.001993640093 lr:0.000145560000
2025-07-09 01:28:14.129077epoch[15/500] psnrTr:46.047156 lossTr:0.001952731400 lr:0.000157440000
2025-07-09 01:29:27.700428epoch[16/500] psnrTr:46.165194 lossTr:0.001892987057 lr:0.000169320000
2025-07-09 01:30:41.415694epoch[17/500] psnrTr:46.284704 lossTr:0.001890258049 lr:0.000181200000
2025-07-09 01:31:55.151361epoch[18/500] psnrTr:46.459379 lossTr:0.001846985659 lr:0.000193080000
2025-07-09 01:33:08.548860epoch[19/500] psnrTr:46.424483 lossTr:0.001827264554 lr:0.000204960000
2025-07-09 01:34:22.422968epoch[20/500] psnrTr:46.612381 lossTr:0.001816929434 lr:0.000216840000
2025-07-09 01:35:36.061907epoch[21/500] psnrTr:46.913675 lossTr:0.001777103520 lr:0.000228720000
2025-07-09 01:36:49.573739epoch[22/500] psnrTr:46.955310 lossTr:0.001728444011 lr:0.000240600000
2025-07-09 01:38:03.226058epoch[23/500] psnrTr:47.281378 lossTr:0.001667656587 lr:0.000252480000
2025-07-09 01:39:16.692484epoch[24/500] psnrTr:47.102628 lossTr:0.001736158039 lr:0.000264360000
2025-07-09 01:40:30.404215epoch[25/500] psnrTr:47.215588 lossTr:0.001706627547 lr:0.000276240000
2025-07-09 01:41:43.804320epoch[26/500] psnrTr:47.241255 lossTr:0.001689424156 lr:0.000288120000
2025-07-09 01:42:59.073122epoch[27/500] psnrTr:47.297421 lossTr:0.001662008581 lr:0.000298337926
2025-07-09 01:44:14.272967epoch[28/500] psnrTr:47.329608 lossTr:0.001663090079 lr:0.000298202602
2025-07-09 01:45:28.467106epoch[29/500] psnrTr:47.672694 lossTr:0.001637817011 lr:0.000298062020
2025-07-09 01:46:42.034803epoch[30/500] psnrTr:47.621745 lossTr:0.001644764328 lr:0.000297916185
2025-07-09 01:47:55.821337epoch[31/500] psnrTr:47.600291 lossTr:0.001611748012 lr:0.000297765103
2025-07-09 01:49:09.158335epoch[32/500] psnrTr:47.307487 lossTr:0.001709948410 lr:0.000297608779
2025-07-09 01:50:22.873586epoch[33/500] psnrTr:48.019424 lossTr:0.001559256692 lr:0.000297447220
2025-07-09 01:51:36.769997epoch[34/500] psnrTr:48.182057 lossTr:0.001547441469 lr:0.000297280432
2025-07-09 01:52:50.553484epoch[35/500] psnrTr:47.955201 lossTr:0.001581595046 lr:0.000297108422
2025-07-09 01:54:04.307299epoch[36/500] psnrTr:47.816796 lossTr:0.001597117167 lr:0.000296931197
2025-07-09 01:55:18.080203epoch[37/500] psnrTr:47.966466 lossTr:0.001574126189 lr:0.000296748763
2025-07-09 01:56:31.665449epoch[38/500] psnrTr:48.144714 lossTr:0.001526673092 lr:0.000296561128
2025-07-09 01:57:45.246596epoch[39/500] psnrTr:47.852148 lossTr:0.001603791025 lr:0.000296368299
2025-07-09 01:58:59.081803epoch[40/500] psnrTr:47.936836 lossTr:0.001563108410 lr:0.000296170284
2025-07-09 02:00:12.625069epoch[41/500] psnrTr:48.191040 lossTr:0.001518830890 lr:0.000295967091
2025-07-09 02:01:26.729319epoch[42/500] psnrTr:47.979219 lossTr:0.001582605299 lr:0.000295758727
2025-07-09 02:02:40.426039epoch[43/500] psnrTr:48.249354 lossTr:0.001522106002 lr:0.000295545201
2025-07-09 02:03:54.074212epoch[44/500] psnrTr:48.031458 lossTr:0.001522290055 lr:0.000295326521
2025-07-09 02:05:07.750890epoch[45/500] psnrTr:48.056480 lossTr:0.001535212970 lr:0.000295102697
2025-07-09 02:06:21.492795epoch[46/500] psnrTr:47.952544 lossTr:0.001575011178 lr:0.000294873736
2025-07-09 02:07:35.229359epoch[47/500] psnrTr:48.182200 lossTr:0.001490140217 lr:0.000294639648
2025-07-09 02:08:48.860057epoch[48/500] psnrTr:48.124277 lossTr:0.001538539189 lr:0.000294400442
2025-07-09 02:10:02.586841epoch[49/500] psnrTr:48.382714 lossTr:0.001522836043 lr:0.000294156127
2025-07-09 02:11:16.534079epoch[50/500] psnrTr:48.298047 lossTr:0.001528195222 lr:0.000293906714
2025-07-09 02:12:30.763221epoch[51/500] psnrTr:48.422604 lossTr:0.001504532062 lr:0.000293652211
2025-07-09 02:13:44.448439epoch[52/500] psnrTr:48.328412 lossTr:0.001522427425 lr:0.000293392630
2025-07-09 02:14:58.330703epoch[53/500] psnrTr:48.118872 lossTr:0.001537404722 lr:0.000293127980
2025-07-09 02:16:12.304359epoch[54/500] psnrTr:48.176736 lossTr:0.001514459029 lr:0.000292858271
2025-07-09 02:17:26.119702epoch[55/500] psnrTr:48.201438 lossTr:0.001482480322 lr:0.000292583515
2025-07-09 02:18:40.038700epoch[56/500] psnrTr:48.342150 lossTr:0.001506106928 lr:0.000292303722
2025-07-09 02:19:53.964194epoch[57/500] psnrTr:48.185442 lossTr:0.001518484438 lr:0.000292018904
2025-07-09 02:21:09.131408epoch[58/500] psnrTr:48.409938 lossTr:0.001498784870 lr:0.000291729071
2025-07-09 02:22:24.633098epoch[59/500] psnrTr:48.292962 lossTr:0.001523357118 lr:0.000291434235
2025-07-09 02:23:38.827296epoch[60/500] psnrTr:48.325590 lossTr:0.001503320178 lr:0.000291134407
2025-07-09 02:24:52.576092epoch[61/500] psnrTr:48.353943 lossTr:0.001490471303 lr:0.000290829600
2025-07-09 02:26:06.493614epoch[62/500] psnrTr:48.224714 lossTr:0.001492092037 lr:0.000290519826
2025-07-09 02:27:21.261021epoch[63/500] psnrTr:48.383978 lossTr:0.001515784417 lr:0.000290205096
2025-07-09 02:28:35.860860epoch[64/500] psnrTr:48.480840 lossTr:0.001483668224 lr:0.000289885423
2025-07-09 02:29:51.333439epoch[65/500] psnrTr:48.268833 lossTr:0.001487404923 lr:0.000289560820
2025-07-09 02:31:05.328209epoch[66/500] psnrTr:48.483443 lossTr:0.001489497372 lr:0.000289231299
2025-07-09 02:32:19.540830epoch[67/500] psnrTr:48.352861 lossTr:0.001466808491 lr:0.000288896874
2025-07-09 02:33:33.995014epoch[68/500] psnrTr:48.687574 lossTr:0.001453460893 lr:0.000288557558
2025-07-09 02:34:49.036933epoch[69/500] psnrTr:48.208640 lossTr:0.001523629529 lr:0.000288213364
2025-07-09 02:36:03.310929epoch[70/500] psnrTr:48.308049 lossTr:0.001515939482 lr:0.000287864306
2025-07-09 02:37:18.119023epoch[71/500] psnrTr:48.239537 lossTr:0.001521545346 lr:0.000287510397
2025-07-09 02:38:33.379181epoch[72/500] psnrTr:48.427211 lossTr:0.001468779519 lr:0.000287151652
2025-07-09 02:39:47.652863epoch[73/500] psnrTr:48.461059 lossTr:0.001479607541 lr:0.000286788085
2025-07-09 02:41:00.339914epoch[74/500] psnrTr:48.573015 lossTr:0.001452905242 lr:0.000286419709
2025-07-09 02:42:12.826624epoch[75/500] psnrTr:48.391868 lossTr:0.001474566758 lr:0.000286046540
2025-07-09 02:43:25.408222epoch[76/500] psnrTr:48.481801 lossTr:0.001470136573 lr:0.000285668592
2025-07-09 02:44:38.207088epoch[77/500] psnrTr:48.413783 lossTr:0.001475950936 lr:0.000285285881
2025-07-09 02:45:50.949916epoch[78/500] psnrTr:48.488691 lossTr:0.001476064906 lr:0.000284898421
2025-07-09 02:47:03.658885epoch[79/500] psnrTr:48.468670 lossTr:0.001428335905 lr:0.000284506227
2025-07-09 02:48:16.453546epoch[80/500] psnrTr:48.671407 lossTr:0.001448619296 lr:0.000284109316
2025-07-09 02:49:28.761658epoch[81/500] psnrTr:48.576695 lossTr:0.001449691597 lr:0.000283707702
2025-07-09 02:50:41.453093epoch[82/500] psnrTr:48.583774 lossTr:0.001453485573 lr:0.000283301402
2025-07-09 02:51:53.929893epoch[83/500] psnrTr:48.482276 lossTr:0.001457140315 lr:0.000282890431
2025-07-09 02:53:06.846761epoch[84/500] psnrTr:48.672218 lossTr:0.001447754796 lr:0.000282474807
2025-07-09 02:54:19.543195epoch[85/500] psnrTr:48.520127 lossTr:0.001471475000 lr:0.000282054545
2025-07-09 02:55:32.375198epoch[86/500] psnrTr:48.454451 lossTr:0.001459622988 lr:0.000281629661
2025-07-09 02:56:44.923256epoch[87/500] psnrTr:48.568030 lossTr:0.001432646182 lr:0.000281200174
2025-07-09 02:57:57.966653epoch[88/500] psnrTr:48.647135 lossTr:0.001470054034 lr:0.000280766099
2025-07-09 02:59:10.773145epoch[89/500] psnrTr:48.556412 lossTr:0.001475135097 lr:0.000280327453
2025-07-09 03:00:23.762328epoch[90/500] psnrTr:48.784677 lossTr:0.001424386050 lr:0.000279884255
2025-07-09 03:01:36.591247epoch[91/500] psnrTr:48.664630 lossTr:0.001435218030 lr:0.000279436521
2025-07-09 03:02:49.189778epoch[92/500] psnrTr:48.666564 lossTr:0.001450704993 lr:0.000278984270
2025-07-09 03:04:02.334383epoch[93/500] psnrTr:48.815255 lossTr:0.001405877993 lr:0.000278527519
2025-07-09 03:05:14.943990epoch[94/500] psnrTr:48.765639 lossTr:0.001447506016 lr:0.000278066285
2025-07-09 03:06:27.876634epoch[95/500] psnrTr:48.490056 lossTr:0.001447157352 lr:0.000277600589
2025-07-09 03:07:40.708254epoch[96/500] psnrTr:48.530651 lossTr:0.001472503063 lr:0.000277130446
2025-07-09 03:08:54.093959epoch[97/500] psnrTr:48.505243 lossTr:0.001461394946 lr:0.000276655878
2025-07-09 03:10:06.964733epoch[98/500] psnrTr:48.671121 lossTr:0.001436953084 lr:0.000276176901
2025-07-09 03:11:20.052457epoch[99/500] psnrTr:48.744598 lossTr:0.001431950717 lr:0.000275693535
2025-07-09 03:12:33.064913epoch[100/500] psnrTr:48.666418 lossTr:0.001451237942 lr:0.000275205799
2025-07-09 03:13:46.358167epoch[101/500] psnrTr:48.286200 lossTr:0.001541840495 lr:0.000274713712
2025-07-09 03:14:59.390436epoch[102/500] psnrTr:48.576378 lossTr:0.001455643098 lr:0.000274217294
2025-07-09 03:16:11.969310epoch[103/500] psnrTr:48.871539 lossTr:0.001416883431 lr:0.000273716565
2025-07-09 03:17:24.986502epoch[104/500] psnrTr:48.743053 lossTr:0.001441128203 lr:0.000273211543
2025-07-09 03:18:37.873954epoch[105/500] psnrTr:48.714944 lossTr:0.001446020906 lr:0.000272702249
2025-07-09 03:19:50.710759epoch[106/500] psnrTr:48.767386 lossTr:0.001433819765 lr:0.000272188704
2025-07-09 03:21:03.619975epoch[107/500] psnrTr:48.595176 lossTr:0.001448876923 lr:0.000271670927
2025-07-09 03:22:16.097135epoch[108/500] psnrTr:48.513095 lossTr:0.001473427983 lr:0.000271148938
2025-07-09 03:23:28.934768epoch[109/500] psnrTr:48.538059 lossTr:0.001472606906 lr:0.000270622759
2025-07-09 03:24:42.036262epoch[110/500] psnrTr:48.765079 lossTr:0.001426395029 lr:0.000270092411
2025-07-09 03:25:54.850260epoch[111/500] psnrTr:48.982296 lossTr:0.001415557810 lr:0.000269557913
2025-07-09 03:27:07.479445epoch[112/500] psnrTr:48.557254 lossTr:0.001488426118 lr:0.000269019288
2025-07-09 03:28:20.157916epoch[113/500] psnrTr:48.579746 lossTr:0.001440754393 lr:0.000268476556
2025-07-09 03:29:33.253349epoch[114/500] psnrTr:48.662045 lossTr:0.001459051738 lr:0.000267929739
2025-07-09 03:30:46.069235epoch[115/500] psnrTr:48.741679 lossTr:0.001418854459 lr:0.000267378859
2025-07-09 03:31:58.714020epoch[116/500] psnrTr:48.844497 lossTr:0.001418097410 lr:0.000266823936
2025-07-09 03:33:11.282218epoch[117/500] psnrTr:48.581710 lossTr:0.001456432859 lr:0.000266264994
2025-07-09 03:34:24.534681epoch[118/500] psnrTr:48.720733 lossTr:0.001430833479 lr:0.000265702055
2025-07-09 03:35:37.139224epoch[119/500] psnrTr:48.721986 lossTr:0.001421657740 lr:0.000265135139
2025-07-09 03:36:49.669552epoch[120/500] psnrTr:48.837213 lossTr:0.001402476453 lr:0.000264564271
2025-07-09 03:38:02.516355epoch[121/500] psnrTr:48.874507 lossTr:0.001421508263 lr:0.000263989472
2025-07-09 03:39:15.043630epoch[122/500] psnrTr:48.709582 lossTr:0.001432775985 lr:0.000263410765
2025-07-09 03:40:27.617727epoch[123/500] psnrTr:48.916126 lossTr:0.001411811099 lr:0.000262828173
2025-07-09 03:41:40.501290epoch[124/500] psnrTr:48.620462 lossTr:0.001426002593 lr:0.000262241718
2025-07-09 03:42:53.475657epoch[125/500] psnrTr:48.721267 lossTr:0.001452589291 lr:0.000261651425
2025-07-09 03:44:06.314603epoch[126/500] psnrTr:48.988840 lossTr:0.001389971469 lr:0.000261057316
2025-07-09 03:45:19.322175epoch[127/500] psnrTr:48.963612 lossTr:0.001399927540 lr:0.000260459415
2025-07-09 03:46:32.745195epoch[128/500] psnrTr:48.760213 lossTr:0.001431730459 lr:0.000259857746
2025-07-09 03:47:45.236764epoch[129/500] psnrTr:48.838623 lossTr:0.001411938691 lr:0.000259252332
2025-07-09 03:48:58.195862epoch[130/500] psnrTr:49.093101 lossTr:0.001355920685 lr:0.000258643196
2025-07-09 03:50:10.465290epoch[131/500] psnrTr:48.806913 lossTr:0.001405795687 lr:0.000258030364
2025-07-09 03:51:23.235525epoch[132/500] psnrTr:48.783121 lossTr:0.001416718471 lr:0.000257413859
2025-07-09 03:52:35.854298epoch[133/500] psnrTr:48.654106 lossTr:0.001476535923 lr:0.000256793706
2025-07-09 03:53:48.573194epoch[134/500] psnrTr:49.118027 lossTr:0.001365516102 lr:0.000256169929
2025-07-09 03:55:01.803989epoch[135/500] psnrTr:49.112474 lossTr:0.001385830343 lr:0.000255542553
2025-07-09 03:56:14.637034epoch[136/500] psnrTr:49.013401 lossTr:0.001388453762 lr:0.000254911602
2025-07-09 03:57:27.272094epoch[137/500] psnrTr:48.995931 lossTr:0.001400819398 lr:0.000254277102
2025-07-09 03:58:40.061563epoch[138/500] psnrTr:48.857950 lossTr:0.001397305052 lr:0.000253639077
2025-07-09 03:59:52.661052epoch[139/500] psnrTr:49.121610 lossTr:0.001376846107 lr:0.000252997553
2025-07-09 04:01:05.421637epoch[140/500] psnrTr:48.700328 lossTr:0.001426290371 lr:0.000252352555
2025-07-09 04:02:17.784715epoch[141/500] psnrTr:48.943142 lossTr:0.001393136336 lr:0.000251704108
2025-07-09 04:03:30.513405epoch[142/500] psnrTr:48.776366 lossTr:0.001429842203 lr:0.000251052239
2025-07-09 04:04:42.945239epoch[143/500] psnrTr:49.006011 lossTr:0.001394890714 lr:0.000250396972
2025-07-09 04:05:55.879229epoch[144/500] psnrTr:49.016029 lossTr:0.001406290103 lr:0.000249738334
2025-07-09 04:07:08.400350epoch[145/500] psnrTr:49.101556 lossTr:0.001386107178 lr:0.000249076350
2025-07-09 04:08:21.033921epoch[146/500] psnrTr:49.220590 lossTr:0.001345703029 lr:0.000248411048
2025-07-09 04:09:33.694530epoch[147/500] psnrTr:48.957198 lossTr:0.001425953349 lr:0.000247742452
2025-07-09 04:10:46.319741epoch[148/500] psnrTr:48.920792 lossTr:0.001397059998 lr:0.000247070590
2025-07-09 04:11:58.905514epoch[149/500] psnrTr:48.859435 lossTr:0.001414678176 lr:0.000246395488
2025-07-09 04:13:11.360603epoch[150/500] psnrTr:48.978374 lossTr:0.001400844310 lr:0.000245717173
2025-07-09 04:14:23.866657epoch[151/500] psnrTr:48.901544 lossTr:0.001422455185 lr:0.000245035671
2025-07-09 04:15:36.366376epoch[152/500] psnrTr:48.861153 lossTr:0.001439217478 lr:0.000244351009
2025-07-09 04:16:49.123343epoch[153/500] psnrTr:48.903031 lossTr:0.001408608980 lr:0.000243663215
2025-07-09 04:18:01.526759epoch[154/500] psnrTr:49.032839 lossTr:0.001413193299 lr:0.000242972315
2025-07-09 04:19:14.020509epoch[155/500] psnrTr:48.981325 lossTr:0.001414808561 lr:0.000242278337
2025-07-09 04:20:26.796848epoch[156/500] psnrTr:48.875206 lossTr:0.001402676920 lr:0.000241581308
2025-07-09 04:21:39.293118epoch[157/500] psnrTr:49.045622 lossTr:0.001388178323 lr:0.000240881256
2025-07-09 04:22:52.017823epoch[158/500] psnrTr:49.205778 lossTr:0.001347624348 lr:0.000240178208
2025-07-09 04:24:04.587408epoch[159/500] psnrTr:49.166399 lossTr:0.001378128654 lr:0.000239472193
2025-07-09 04:25:17.129588epoch[160/500] psnrTr:48.992526 lossTr:0.001397813088 lr:0.000238763237
2025-07-09 04:26:30.099249epoch[161/500] psnrTr:48.983735 lossTr:0.001395514002 lr:0.000238051369
2025-07-09 04:27:42.456017epoch[162/500] psnrTr:49.092794 lossTr:0.001388409524 lr:0.000237336617
2025-07-09 04:28:55.468670epoch[163/500] psnrTr:49.196916 lossTr:0.001397604356 lr:0.000236619010
2025-07-09 04:30:08.062412epoch[164/500] psnrTr:49.033833 lossTr:0.001422369271 lr:0.000235898575
2025-07-09 04:31:20.807225epoch[165/500] psnrTr:49.067641 lossTr:0.001386303920 lr:0.000235175341
2025-07-09 04:32:33.580863epoch[166/500] psnrTr:49.130498 lossTr:0.001369011123 lr:0.000234449337
2025-07-09 04:33:46.201775epoch[167/500] psnrTr:49.241792 lossTr:0.001370762591 lr:0.000233720591
2025-07-09 04:34:58.853273epoch[168/500] psnrTr:49.285617 lossTr:0.001367748831 lr:0.000232989132
2025-07-09 04:36:11.533903epoch[169/500] psnrTr:49.110903 lossTr:0.001404607901 lr:0.000232254989
2025-07-09 04:37:24.534745epoch[170/500] psnrTr:49.064462 lossTr:0.001385666081 lr:0.000231518191
2025-07-09 04:38:37.297412epoch[171/500] psnrTr:49.097443 lossTr:0.001420266926 lr:0.000230778767
2025-07-09 04:39:49.996707epoch[172/500] psnrTr:48.857299 lossTr:0.001417071093 lr:0.000230036746
2025-07-09 04:41:02.612938epoch[173/500] psnrTr:48.848511 lossTr:0.001395744388 lr:0.000229292157
2025-07-09 04:42:15.358604epoch[174/500] psnrTr:49.029766 lossTr:0.001413544989 lr:0.000228545031
2025-07-09 04:43:28.040471epoch[175/500] psnrTr:49.057402 lossTr:0.001382661168 lr:0.000227795396
2025-07-09 04:44:40.636191epoch[176/500] psnrTr:49.114532 lossTr:0.001357057947 lr:0.000227043281
2025-07-09 04:45:53.280777epoch[177/500] psnrTr:49.175760 lossTr:0.001399454311 lr:0.000226288717
2025-07-09 04:47:06.476993epoch[178/500] psnrTr:49.092144 lossTr:0.001396243693 lr:0.000225531734
2025-07-09 04:48:19.317917epoch[179/500] psnrTr:49.331003 lossTr:0.001369809033 lr:0.000224772361
2025-07-09 04:49:31.968337epoch[180/500] psnrTr:49.230340 lossTr:0.001337021589 lr:0.000224010628
2025-07-09 04:50:45.113591epoch[181/500] psnrTr:49.212228 lossTr:0.001379087800 lr:0.000223246566
2025-07-09 04:51:57.906134epoch[182/500] psnrTr:49.476411 lossTr:0.001341202646 lr:0.000222480204
2025-07-09 04:53:10.458539epoch[183/500] psnrTr:49.376863 lossTr:0.001336577232 lr:0.000221711573
2025-07-09 04:54:23.193658epoch[184/500] psnrTr:49.247290 lossTr:0.001342945616 lr:0.000220940703
2025-07-09 04:55:36.076866epoch[185/500] psnrTr:49.066535 lossTr:0.001407718635 lr:0.000220167625
2025-07-09 04:56:48.858863epoch[186/500] psnrTr:49.434599 lossTr:0.001334687346 lr:0.000219392369
2025-07-09 04:58:01.576997epoch[187/500] psnrTr:49.176203 lossTr:0.001385919168 lr:0.000218614965
2025-07-09 04:59:14.178495epoch[188/500] psnrTr:49.516941 lossTr:0.001332537155 lr:0.000217835445
2025-07-09 05:00:27.095235epoch[189/500] psnrTr:49.141480 lossTr:0.001385112642 lr:0.000217053839
2025-07-09 05:01:39.603520epoch[190/500] psnrTr:49.260902 lossTr:0.001373562030 lr:0.000216270178
2025-07-09 05:02:52.334722epoch[191/500] psnrTr:49.249852 lossTr:0.001358906389 lr:0.000215484493
2025-07-09 05:04:05.109913epoch[192/500] psnrTr:49.235113 lossTr:0.001387841068 lr:0.000214696815
2025-07-09 05:05:17.881559epoch[193/500] psnrTr:49.459650 lossTr:0.001335480367 lr:0.000213907175
2025-07-09 05:06:30.616844epoch[194/500] psnrTr:49.069544 lossTr:0.001387303695 lr:0.000213115604
2025-07-09 05:07:43.427296epoch[195/500] psnrTr:49.316831 lossTr:0.001351408195 lr:0.000212322133
2025-07-09 05:08:56.145209epoch[196/500] psnrTr:49.391717 lossTr:0.001323915669 lr:0.000211526795
2025-07-09 05:10:08.820935epoch[197/500] psnrTr:49.211933 lossTr:0.001345113735 lr:0.000210729619
2025-07-09 05:11:21.611875epoch[198/500] psnrTr:49.282826 lossTr:0.001342518255 lr:0.000209930639
2025-07-09 05:12:34.460445epoch[199/500] psnrTr:49.154861 lossTr:0.001367043820 lr:0.000209129884
2025-07-09 05:13:47.046499epoch[200/500] psnrTr:49.469137 lossTr:0.001348020858 lr:0.000208327387
2025-07-09 05:15:00.284591epoch[201/500] psnrTr:49.262557 lossTr:0.001344060525 lr:0.000207523180
2025-07-09 05:16:12.818766epoch[202/500] psnrTr:49.281958 lossTr:0.001337410300 lr:0.000206717294
2025-07-09 05:17:25.287756epoch[203/500] psnrTr:49.423849 lossTr:0.001337852562 lr:0.000205909761
